City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current_Description
323,Santa Isabel,BR,-23.3156,-46.2214,61.9,97,100,2.15,overcast clouds
324,Adrian,US,41.8975,-84.0372,42.44,91,0,0.0,overcast clouds
325,West Bay,KY,19.3667,-81.4167,82.0,72,60,1.99,overcast clouds
326,Raudeberg,NO,61.9875,5.1352,53.96,61,100,16.04,overcast clouds
327,Meulaboh,ID,4.1363,96.1285,79.09,82,94,3.56,overcast clouds
328,Zlitan,LY,32.4674,14.5687,74.34,71,12,10.09,overcast clouds
329,Wamba,NG,8.9333,8.6,70.14,91,100,1.54,overcast clouds
330,Asfi,MA,32.2994,-9.2372,69.62,66,61,9.35,overcast clouds
331,Kamenka,RU,51.3223,42.7678,52.9,68,88,9.31,overcast clouds
332,Menongue,AO,-14.6585,17.691,60.85,30,20,3.0,overcast clouds
333,Gravdal,NO,68.1214,13.5031,48.09,100,75,9.22,overcast clouds
334,Aksu,CN,41.1231,80.2644,63.01,32,97,10.8,overcast clouds
335,Liverpool,GB,53.4106,-2.9779,59.83,86,40,11.5,overcast clouds
336,Kotelnich,RU,58.3089,48.348,50.88,84,100,10.33,overcast clouds
337,Hobyo,SO,5.3505,48.5268,79.43,75,34,15.7,overcast clouds
338,Mahenge,TZ,-8.6833,36.7167,64.51,66,18,2.73,overcast clouds
339,Gdov,RU,58.7406,27.8122,45.48,96,100,9.4,overcast clouds
340,Mosquera,CO,4.7059,-74.2302,51.89,87,75,3.44,overcast clouds
341,Bondo,CD,3.8146,23.6866,68.38,99,100,0.94,overcast clouds
342,Pangoa,PE,-12.1167,-73.0,65.77,98,44,2.8,overcast clouds
343,Floro,NO,61.5996,5.0328,54.97,87,75,19.57,overcast clouds
344,Tres Lagoas,BR,-20.7511,-51.6783,71.04,77,4,4.12,overcast clouds
345,Gamba,GA,-2.65,10.0,75.15,84,100,5.23,overcast clouds
346,Susanino,RU,58.1461,41.5872,48.49,82,3,11.81,overcast clouds
347,Dzilam Gonzalez,MX,21.2833,-88.9333,72.72,84,18,2.82,overcast clouds
348,Talara,PE,-4.5772,-81.2719,63.34,86,92,15.64,overcast clouds
349,Tatarsk,RU,55.219,75.9828,42.71,48,56,7.81,overcast clouds
350,Inyonga,TZ,-6.7167,32.0667,69.78,32,84,5.66,overcast clouds
351,Staryy Nadym,RU,65.6118,72.6842,38.82,82,99,10.98,overcast clouds
352,Candido Mendes,BR,-1.4467,-45.7167,76.57,85,14,5.73,overcast clouds
353,Henties Bay,NA,-22.116,14.2845,55.71,89,70,6.15,overcast clouds
354,Parati,BR,-23.2178,-44.7131,66.78,97,100,1.7,overcast clouds
355,Nouadhibou,MR,20.931,-17.0347,76.51,74,90,10.2,overcast clouds
356,Ravar,IR,31.2656,56.8055,81.16,16,0,1.63,overcast clouds
357,Saint-Louis,SN,16.3333,-15.0,86.5,53,89,3.44,overcast clouds
358,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,74.97,78,90,6.35,overcast clouds
359,Itapirapua,BR,-15.8233,-50.6133,74.26,72,59,3.96,overcast clouds
360,Ilhabela,BR,-23.7781,-45.3581,67.1,93,100,4.56,overcast clouds
361,Kishanpur,IN,25.65,81.0167,88.02,61,50,11.5,overcast clouds
362,Riyadh,SA,24.6877,46.7219,80.74,24,0,5.03,overcast clouds
363,Ipora,BR,-16.4419,-51.1178,72.97,67,29,2.91,overcast clouds
364,Kerouane,GN,9.2667,-9.0167,67.91,97,18,2.37,overcast clouds
365,Santa Maria,BR,-29.6842,-53.8069,48.88,90,2,7.52,overcast clouds
366,Nueve De Julio,AR,-35.4444,-60.8831,47.97,84,53,13.76,overcast clouds
367,Port Blair,IN,11.6667,92.75,84.24,79,75,3.44,overcast clouds
368,Kuryk,KZ,43.2,51.65,62.31,26,1,21.99,overcast clouds
369,Maloy,NO,61.9353,5.1136,54.73,61,100,17.69,overcast clouds
370,Tadpatri,IN,14.9167,78.0167,88.11,49,99,13.71,overcast clouds
371,Aksarka,RU,66.5606,67.7975,39.63,79,8,14.07,overcast clouds
372,Bud,US,39.447,-86.1758,51.98,78,0,6.89,overcast clouds
373,Kimberley,ZA,-28.7323,24.7623,55.09,41,0,3.44,overcast clouds
374,Miraflores,MX,19.2167,-98.8083,59.97,75,89,2.33,overcast clouds
375,Santa Cruz De Tenerife,ES,28.4682,-16.2546,79.47,48,53,4.61,overcast clouds
376,Butembo,CD,0.15,29.2833,58.96,92,100,1.81,overcast clouds
377,Aramecina,HN,13.7422,-87.7103,73.11,94,100,2.01,overcast clouds
378,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,78.78,53,52,6.31,overcast clouds
379,Cururupu,BR,-1.8283,-44.8683,76.12,83,20,5.7,overcast clouds
380,Mala,PE,-12.6581,-76.6308,60.82,86,66,6.64,overcast clouds
381,Richards Bay,ZA,-28.783,32.0377,71.78,65,74,13.89,overcast clouds
382,Clyde River,CA,70.4692,-68.5914,27.45,93,100,3.02,overcast clouds
383,Nizwa,OM,22.9333,57.5333,87.08,30,0,2.04,overcast clouds
384,Nalut,LY,30.3333,10.85,66.29,53,1,7.87,overcast clouds
385,Santo Andre,BR,-23.6639,-46.5383,60.37,95,100,9.22,overcast clouds
386,Milos,GR,36.75,24.4333,70.56,66,4,25.77,overcast clouds
387,Vestmannaeyjar,IS,63.4427,-20.2734,49.44,77,100,17.13,overcast clouds
388,Constantine,DZ,36.365,6.6147,67.41,59,40,2.3,overcast clouds
389,Colesberg,ZA,-30.72,25.0972,53.31,64,95,7.74,overcast clouds
390,Marovoay,MG,-16.1,46.6333,79.12,43,0,7.81,overcast clouds
391,Grindavik,IS,63.8424,-22.4338,46.87,93,100,23.02,overcast clouds
392,Palanga,LT,55.9175,21.0686,53.62,76,40,11.5,overcast clouds
393,Sabya,SA,17.1495,42.6254,89.96,50,4,1.12,overcast clouds
394,Oktyabrskoye,RU,43.0645,44.7417,51.94,100,61,6.71,overcast clouds
395,Alta Floresta,BR,-9.8756,-56.0861,70.5,94,39,2.73,overcast clouds
396,Thiruvananthapuram,IN,8.4833,76.9167,85.98,70,40,9.22,overcast clouds
397,Takoradi,GH,4.8845,-1.7554,74.52,94,85,5.12,overcast clouds
398,Campoverde,PE,-8.4753,-74.8058,75.76,70,48,1.9,overcast clouds
399,Iskateley,RU,67.6803,53.1512,38.89,88,100,7.47,overcast clouds
